customer_id,phone
15962,876.997.0254
99723,001-706-213-0362
99723,886.527.4420x90003
292123,609-707-0898x27190
292123,251.901.5135x81714
195782,609-707-0898x27190
551515,609-707-0898x27190
551515,(936)847-4357
551515,(777)968-6734
269903,251.901.5135x81714
92035,251.901.5135x81714
527498,251.901.5135x81714
527498,967.242.6117x895
354325,251.901.5135x81714
354325,967.242.6117x895
354325,+1-738-286-0151
305711,251.901.5135x81714
305711,880-909-3087
525535,251.901.5135x81714
525535,457-428-3328x7320
366833,251.901.5135x81714
278060,251.901.5135x81714
456434,+1-224-605-3915x17480
508821,+1-445-402-1297
508821,3287834982
198149,+1-445-402-1297
15907,3287834982
15907,771.888.8110x22887
119845,680-210-0127x41447
306275,359-484-0798
527255,359-484-0798
537722,(304)313-3538
540689,+1-614-614-6685x407
540689,001-297-499-7903
540689,760.634.9964x0353
460576,278-650-6467x9178
602177,278-650-6467x9178
188506,278-650-6467x9178
529140,278-650-6467x9178
529140,771.888.8110x22887
605757,278-650-6467x9178
605757,771.888.8110x22887
34211,278-650-6467x9178
602077,278-650-6467x9178
442716,278-650-6467x9178
89859,771.888.8110x22887
443212,771.888.8110x22887
318234,771.888.8110x22887
318806,771.888.8110x22887
333542,771.888.8110x22887
104058,771.888.8110x22887
559577,771.888.8110x22887
288609,771.888.8110x22887
504734,771.888.8110x22887
241010,(274)623-2446x8709
329644,(274)623-2446x8709
329644,(719)720-6678x3898
586845,(274)623-2446x8709
239433,(274)623-2446x8709
407472,(823)948-0122
566248,(823)948-0122
155967,(823)948-0122
155967,001-267-298-9850x419
155967,(319)283-5601x5555
329867,(823)948-0122
537212,393-362-6193x19389
55040,393-362-6193x19389
55040,250-206-5340x50248
55040,001-222-708-2212x38126
164189,393-362-6193x19389
164189,250-206-5340x50248
400361,393-362-6193x19389
54090,393-362-6193x19389
337878,407.612.3372
313699,350-777-9462x74304
138190,238.507.4771x768
138190,(660)568-5330x2870
138190,(781)623-8724
501780,238.507.4771x768
556257,956-751-0442
89545,275.538.7221x511
225549,3264657313
225549,001-932-639-5066x7134
313962,001-932-639-5066x7134
198673,001-932-639-5066x7134
145136,001-932-639-5066x7134
523945,001-932-639-5066x7134
337495,001-932-639-5066x7134
318144,001-932-639-5066x7134
219063,001-932-639-5066x7134
587853,001-932-639-5066x7134
243368,001-932-639-5066x7134
474229,001-932-639-5066x7134
482309,001-932-639-5066x7134
179216,001-932-639-5066x7134
307983,001-932-639-5066x7134
198524,001-932-639-5066x7134
343928,001-932-639-5066x7134
343928,722.542.0102x4057
486829,001-932-639-5066x7134
486829,001-684-829-4810x204
154075,001-932-639-5066x7134
315653,001-932-639-5066x7134
119132,001-932-639-5066x7134
12149,8968333293
572339,8968333293
383423,8968333293
499385,8968333293
230059,001-662-651-4055x246
546983,841.416.9295
100264,+1-436-451-4751x07475
152267,(477)902-1478
152267,(837)754-8445x5539
336229,+1-503-248-1294x4808
546270,001-357-309-9863x884
584367,001-357-309-9863x884
339941,001-357-309-9863x884
631501,001-357-309-9863x884
19031,001-357-309-9863x884
19031,001-835-397-0556x2464
19031,907.576.3743x5191
216271,001-357-309-9863x884
60486,001-357-309-9863x884
299192,001-357-309-9863x884
159898,001-357-309-9863x884
408091,001-357-309-9863x884
408091,+1-852-599-3445x346
470251,598.792.5642x5549
533583,408-680-4978x3334
199715,600.286.4151x7746
199715,981-893-0971x481
169899,600.286.4151x7746
169899,(270)473-1434x46023
169899,(447)399-2895x610
122085,600.286.4151x7746
122085,+1-438-637-7128
19883,(447)399-2895x610
19883,001-246-353-1246x843
19883,744.228.4034x2621
219386,(447)399-2895x610
495016,(447)399-2895x610
